Title,Certificate,Rating,Metascore,Scaled Rating,ScaledRating
Disaster Movie,PG-13,1.9,15.0,19.0,19.0
The Hottie & the Nottie,PG-13,2.0,7.0,20.0,20.0
Son of the Mask,U,2.3,20.0,23.0,23.0
Alone in the Dark,A,2.4,9.0,24.0,24.0
Epic Movie,U,2.4,17.0,24.0,24.0
Cosmic Sin,R,2.5,9.0,25.0,25.0
Dragonball Evolution,U,2.5,45.0,25.0,25.0
Battlefield Earth,A,2.5,9.0,25.0,25.0
Gigli,U,2.6,18.0,26.0,26.0
Baby Geniuses,U,2.6,7.0,26.0,26.0
Meet the Spartans,18,2.8,9.0,28.0,28.0
Cats,UA,2.8,32.0,28.0,28.0
It's Pat: The Movie,PG-13,2.8,18.0,28.0,28.0
Date Movie,A,2.8,11.0,28.0,28.0
Jiu Jitsu,R,2.9,27.0,29.0,29.0
3 Ninjas: High Noon at Mega Mountain,PG,3.0,44.0,30.0,30.0
Bolero,Not Rated,3.0,13.0,30.0,30.0
Jaws: The Revenge,U,3.0,15.0,30.0,30.0
BloodRayne,A,3.0,18.0,30.0,30.0
Kazaam,PG,3.1,24.0,31.0,31.0
Rollerball,UA,3.1,14.0,31.0,31.0
Left Behind,PG-13,3.1,12.0,31.0,31.0
The American Society of Magical Negroes,PG-13,3.1,50.0,31.0,31.0
Bratz,U,3.1,21.0,31.0,31.0
Music,PG-13,3.2,23.0,32.0,32.0
The Master of Disguise,U,3.3,12.0,33.0,33.0
Slender Man,UA,3.3,30.0,33.0,33.0
The Return of the Texas Chainsaw Massacre,A,3.3,50.0,33.0,33.0
Jack and Jill,UA,3.3,23.0,33.0,33.0
Mac and Me,U,3.4,26.0,34.0,34.0
Feardotcom,R,3.4,16.0,34.0,34.0
The Emoji Movie,UA,3.4,12.0,34.0,34.0
Vampires Suck,PG-13,3.4,18.0,34.0,34.0
Dumb and Dumberer: When Harry Met Lloyd,UA,3.4,19.0,34.0,34.0
Catwoman,U,3.4,27.0,34.0,34.0
Tarzan the Ape Man,UA,3.4,24.0,34.0,34.0
Scary Movie 5,A,3.5,11.0,35.0,35.0
Police Academy: Mission to Moscow,U,3.5,11.0,35.0,35.0
Spy Kids 4: All the Time in the World,PG,3.5,37.0,35.0,35.0
Dirty Love,R,3.5,9.0,35.0,35.0
Black Christmas,18,3.5,49.0,35.0,35.0
Barb Wire,UA,3.5,40.0,35.0,35.0
Fifty Shades of Black,R,3.5,28.0,35.0,35.0
The Room,UA,3.6,9.0,36.0,36.0
Swept Away,18,3.6,18.0,36.0,36.0
I Know Who Killed Me,A,3.6,16.0,36.0,36.0
Mortal Kombat: Annihilation,UA,3.6,11.0,36.0,36.0
Home Sweet Home Alone,UA 7+,3.6,35.0,36.0,36.0
Dungeons & Dragons,UA,3.6,14.0,36.0,36.0
Dance Flick,PG-13,3.6,40.0,36.0,36.0
Mignonnes,18+,3.6,67.0,36.0,36.0
Cabin Fever,18,3.7,14.0,37.0,37.0
Children of the Corn,R,3.7,22.0,37.0,37.0
Spice World,Not Rated,3.7,34.0,37.0,37.0
The Flintstones in Viva Rock Vegas,UA,3.7,27.0,37.0,37.0
Superman IV: The Quest for Peace,U,3.7,24.0,37.0,37.0
The Fog,A,3.7,27.0,37.0,37.0
The Adventures of Sharkboy and Lavagirl 3-D,U,3.7,38.0,37.0,37.0
Paradise City,R,3.7,31.0,37.0,37.0
Jaws 3-D,UA,3.7,27.0,37.0,37.0
Street Fighter: The Legend of Chun-Li,PG-13,3.7,17.0,37.0,37.0
The Wicker Man,PG-13,3.8,36.0,38.0,38.0
Batman & Robin,U,3.8,29.0,38.0,38.0
The Love Guru,UA,3.8,24.0,38.0,38.0
In the Name of the King: A Dungeon Siege Tale,UA,3.8,15.0,38.0,38.0
Piranha 3DD,A,3.8,24.0,38.0,38.0
Piranha Part Two: The Spawning,A,3.8,15.0,38.0,38.0
Exorcist II: The Heretic,A,3.8,39.0,38.0,38.0
Abandoned,PG-13,3.8,38.0,38.0,38.0
The Avengers,PG-13,3.8,12.0,38.0,38.0
Crossroads,PG-13,3.8,27.0,38.0,38.0
The Canyons,R,3.8,36.0,38.0,38.0
Speed 2: Cruise Control,UA,3.9,24.0,39.0,39.0
King Kong Lives,U,3.9,32.0,39.0,39.0
London Fields,18,3.9,16.0,39.0,39.0
Beverly Hills Chihuahua,PG,3.9,41.0,39.0,39.0
Prom Night,A,3.9,17.0,39.0,39.0
The Turning,18,3.9,35.0,39.0,39.0
Madame Web,PG-13,3.9,26.0,39.0,39.0
Holmes & Watson,PG-13,3.9,24.0,39.0,39.0
Dear David,R,3.9,25.0,39.0,39.0
Halloween: Resurrection,R,3.9,19.0,39.0,39.0
The Last Airbender,U,4.0,20.0,40.0,40.0
Book of Shadows: Blair Witch 2,R,4.0,15.0,40.0,40.0
Shark Night 3D,A,4.1,22.0,41.0,41.0
The Fanatic,R,4.1,18.0,41.0,41.0
Street Fighter,U,4.1,34.0,41.0,41.0
Jason Goes to Hell: The Final Friday,A,4.1,17.0,41.0,41.0
Zombie Strippers!,R,4.1,45.0,41.0,41.0
The Cat in the Hat,U,4.1,19.0,41.0,41.0
Torque,PG-13,4.1,41.0,41.0,41.0
Devil's Due,R,4.2,34.0,42.0,42.0
Highlander II: The Quickening,R,4.2,31.0,42.0,42.0
Super Mario Bros.,PG,4.2,35.0,42.0,42.0
Norbit,PG-13,4.2,27.0,42.0,42.0
Fifty Shades of Grey,(Banned),4.2,46.0,42.0,42.0
Inspector Gadget,U,4.2,36.0,42.0,42.0
RoboCop 3,UA,4.2,40.0,42.0,42.0
Don't Tell Mom the Babysitter's Dead,R,4.2,62.0,42.0,42.0
Mea Culpa,R,4.2,33.0,42.0,42.0
Yoga Hosers,PG-13,4.2,23.0,42.0,42.0
Exposed,R,4.3,23.0,43.0,43.0
Thunderbirds,U,4.3,36.0,43.0,43.0
Artemis Fowl,U,4.3,31.0,43.0,43.0
Founders Day,R,4.3,39.0,43.0,43.0
Diary of a Wimpy Kid: The Long Haul,UA,4.3,39.0,43.0,43.0
Fantastic Four,UA,4.3,27.0,43.0,43.0
Ghost Rider: Spirit of Vengeance,UA,4.3,34.0,43.0,43.0
The Ice Age Adventures of Buck Wild,U,4.3,30.0,43.0,43.0
Movie 43,A,4.3,18.0,43.0,43.0
Monsters: Dark Continent,R,4.3,42.0,43.0,43.0
Ultraviolet,UA,4.3,18.0,43.0,43.0
Left Behind,PG-13,4.3,22.0,43.0,43.0
3 Ninjas: Knuckle Up,PG-13,4.3,39.0,43.0,43.0
Spy Kids: Armageddon,PG,4.3,55.0,43.0,43.0
Siberia,A,4.3,34.0,43.0,43.0
This Is Me... Now: A Love Story,PG-13,4.3,61.0,43.0,43.0
The Adventures of Rocky and Bullwinkle,PG,4.3,36.0,43.0,43.0
A Wrinkle in Time,UA,4.3,53.0,43.0,43.0
The Bye Bye Man,PG-13,4.3,37.0,43.0,43.0
The Legend of Hercules,UA,4.3,22.0,43.0,43.0
Police Academy 6: City Under Siege,U,4.4,16.0,44.0,44.0
The Concorde... Airport '79,A,4.4,39.0,44.0,44.0
Fair Game,R,4.4,13.0,44.0,44.0
