Title,Certificate,Rating,Metascore,ScaledRating
The Emoji Movie,UA,3.4,12,34
After Earth,UA,4.8,33,48
Independence Day: Resurgence,UA,5.2,32,52
Rough Night,UA,5.2,51,52
Point Break,UA,5.3,34,53
Once Bitten,UA,5.6,64,56
Beverly Hills Ninja,UA,5.6,27,56
Blue Crush,UA,5.7,61,57
Heaven Is for Real,UA,5.8,47,58
Daylight,UA,5.9,47,59
Jack Reacher: Never Go Back,UA,6.1,47,61
Sucker Punch,UA,6.1,33,61
The House with a Clock in Its Walls,UA,6.1,57,61
Chasing Liberty,UA,6.1,46,61
Starsky & Hutch,UA,6.1,55,61
Justice League,UA,6.1,45,61
Ali G Indahouse,UA,6.2,46,62
The Fifth Estate,UA,6.2,49,62
Star Trek: Insurrection,UA,6.4,64,64
Due Date,UA,6.5,51,65
Life as We Know It,UA,6.5,39,65
Blended,UA,6.5,31,65
The Pelican Brief,UA,6.6,51,66
A Walk on the Moon,UA,6.6,71,66
Stay,UA,6.7,41,67
All of Me,UA,6.7,68,67
The Thomas Crown Affair,UA,6.8,72,68
The 33,UA,6.9,55,69
The Devil Wears Prada,UA,6.9,62,69
Jumanji: Welcome to the Jungle,UA,7,58,70
Beaches,UA,7,46,70
The Frighteners,UA,7.1,52,71
8 Mile,UA,7.2,77,72
The Disaster Artist,UA,7.3,76,73
Split,UA,7.3,63,73
Reds,UA,7.3,76,73
Mud,UA,7.4,76,74
Ging chaat goo si,UA,7.5,78,75
Guardians of the Galaxy Vol. 2,UA,7.6,67,76
The Hobbit: The Desolation of Smaug,UA,7.8,66,78
The Curious Case of Benjamin Button,UA,7.8,70,78
Tôkyô goddofâzâzu,UA,7.8,75,78
Iron Man,UA,7.9,79,79
Casino Royale,UA,8,80,80
Guardians of the Galaxy,UA,8,76,80
Magnolia,UA,8,78,80
Harry Potter and the Deathly Hallows - Part 2,UA,8.1,85,81
Hotel Rwanda,UA,8.1,79,81
Gran Torino,UA,8.1,73,81
The Elephant Man,UA,8.2,78,82
