Title,Certificate,Rating,Metascore,ScaledRating
Howard the Duck,U,4.7,28,47
Big Momma's House 2,U,4.8,34,48
Who's That Girl,U,4.8,27,48
The Beverly Hillbillies,U,5,37,50
The Haunted Mansion,U,5.2,34,52
Sleepover,U,5.3,33,53
Stuart Little 2,U,5.5,66,55
Valentine's Day,U,5.7,34,57
Journey 2: The Mysterious Island,U,5.7,41,57
The Addams Family,U,5.8,46,58
The Ant Bully,U,5.8,59,58
Mad Money,U,5.9,41,59
Planes: Fire & Rescue,U,5.9,48,59
Ice Princess,U,6,55,60
The Mirror Crack'd,U,6.2,47,62
Evita,U,6.3,45,63
One Crazy Summer,U,6.4,47,64
The Grinch,U,6.4,51,64
The Greatest Show on Earth,U,6.5,76,65
The Parent Trap,U,6.6,63,66
Star Trek III: The Search for Spock,U,6.6,56,66
Tron,U,6.7,58,67
Cars 3,U,6.7,59,67
The Last Starfighter,U,6.7,67,67
Bull Durham,U,7,73,70
Hairspray,U,7,77,70
Elemental,U,7,58,70
The Outsiders,U,7,45,70
The Bounty,U,7,62,70
Uncle Buck,U,7.1,51,71
Birdy,U,7.2,71,72
Cars,U,7.2,73,72
The Age of Innocence,U,7.2,90,72
10 Things I Hate About You,U,7.3,70,73
Bambi,U,7.3,91,73
The Constant Gardener,U,7.3,82,73
Much Ado About Nothing,U,7.3,80,73
Tootsie,U,7.4,88,74
"The Adventures of Priscilla, Queen of the Desert",U,7.5,70,75
The Illusionist,U,7.5,68,75
Vampire Hunter D: Bloodlust,U,7.6,62,76
Airplane!,U,7.7,78,77
Mary Poppins,U,7.8,88,78
Star Wars: Episode VII - The Force Awakens,U,7.8,80,78
Mimi wo sumaseba,U,7.8,75,78
Kaguya-hime no monogatari,U,8,89,80
Lagaan: Once Upon a Time in India,U,8.1,84,81
Tonari no Totoro,U,8.1,86,81
Per qualche dollaro in più,U,8.2,74,82
Witness for the Prosecution,U,8.4,76,84
