Title,Certificate,Rating,Metascore,ScaledRating
The Wild,G,5.2,47.0,52.0
Valiant,G,5.5,45.0,55.0
Rio Lobo,G,6.7,55.0,67.0
The Golden Voyage of Sinbad,G,6.8,69.0,68.0
Song of the South,G,6.9,54.0,69.0
The Peanuts Movie,G,7.0,67.0,70.0
Neko no ongaeshi,G,7.1,70.0,71.0
How the West Was Won,G,7.1,56.0,71.0
Swiss Family Robinson,G,7.1,61.0,71.0
Dumbo,G,7.2,96.0,72.0
Cinderella,G,7.3,85.0,73.0
Lady and the Tramp,G,7.3,78.0,73.0
The Music Man,G,7.7,76.0,77.0
Singin' in the Rain,G,8.3,99.0,83.0
City Lights,G,8.5,99.0,85.0
