Title,Certificate,Rating,Metascore,ScaledRating
Happy Gilmore,PG-13,7.0,31.0,70.0
Daddy's Little Girls,PG-13,5.8,49.0,58.0
Something Borrowed,PG-13,5.8,36.0,58.0
Madea's Family Reunion,PG-13,5.3,45.0,53.0
The Wicker Man,PG-13,3.8,36.0,38.0
Thelma,PG-13,7.6,76.0,76.0
Passengers,PG-13,5.8,40.0,58.0
The Salt of the Earth,PG-13,8.4,83.0,84.0
Heart and Souls,PG-13,7.0,56.0,70.0
Jack,PG-13,5.8,31.0,58.0
Jesus Revolution,PG-13,7.1,46.0,71.0
Super Size Me,PG-13,7.2,73.0,72.0
Wild Hogs,PG-13,5.8,27.0,58.0
Women Talking,PG-13,6.9,77.0,69.0
Fire in the Sky,PG-13,6.5,42.0,65.0
And So It Goes,PG-13,5.9,38.0,59.0
Drumline,PG-13,5.9,63.0,59.0
A Hidden Life,PG-13,7.4,80.0,74.0
Hard Ball,PG-13,6.4,48.0,64.0
Romeo & Juliet,PG-13,5.8,41.0,58.0
Loving,PG-13,7.0,79.0,70.0
Quartet,PG-13,6.8,64.0,68.0
Maudie,PG-13,7.6,65.0,76.0
Beyond Utopia,PG-13,8.0,84.0,80.0
Tarot,PG-13,5.0,38.0,50.0
Pulse,PG-13,4.7,29.0,47.0
Be Kind Rewind,PG-13,6.4,52.0,64.0
Out Cold,PG-13,6.2,22.0,62.0
Veronica Mars,PG-13,6.7,62.0,67.0
Tesla,PG-13,5.1,67.0,51.0
The Double,PG-13,5.9,37.0,59.0
La Vie En Rose,PG-13,7.6,66.0,76.0
Supernova,PG-13,4.8,19.0,48.0
Lockout,PG-13,6.0,48.0,60.0
Wall Street: Money Never Sleeps,PG-13,6.2,59.0,62.0
Red Tails,PG-13,5.9,46.0,59.0
Wicker Park,PG-13,6.9,40.0,69.0
9,PG-13,7.0,60.0,70.0
Pootie Tang,PG-13,5.3,31.0,53.0
Unfrosted,PG-13,5.5,42.0,55.0
The Box,PG-13,5.6,47.0,56.0
Star Trek: First Contact,PG-13,7.6,70.0,76.0
Ghostbusters: Frozen Empire,PG-13,6.2,46.0,62.0
Bring It On,PG-13,6.1,52.0,61.0
The Haunting in Connecticut,PG-13,5.8,33.0,58.0
The Color Purple,PG-13,6.9,72.0,69.0
Hot Rod,PG-13,6.7,43.0,67.0
The Soloist,PG-13,6.7,61.0,67.0
Dune: Part Two,PG-13,8.7,79.0,87.0
Me and Earl and the Dying Girl,PG-13,7.7,74.0,77.0
