Title,Certificate,Rating,Metascore,ScaledRating
American Underdog,PG,7.1,53.0,71.0
Are We There Yet?,PG,4.8,27.0,48.0
Mr. Holland's Opus,PG,7.3,59.0,73.0
G-Force,PG,5.1,41.0,51.0
Spy Kids: Armageddon,PG,4.3,55.0,43.0
The Call of the Wild,PG,6.7,48.0,67.0
Kung Fu Panda 4,PG,6.3,54.0,63.0
A Million Miles Away,PG,7.3,62.0,73.0
The Case for Christ,PG,6.3,50.0,63.0
Dinosaur,PG,6.4,56.0,64.0
Diary of a Wimpy Kid,PG,6.2,56.0,62.0
Ordinary Angels,PG,7.4,57.0,74.0
Waking Ned,PG,7.3,71.0,73.0
Planet 51,PG,6.0,39.0,60.0
The Great Santini,PG,7.2,64.0,72.0
Marcel the Shell with Shoes On,PG,7.7,80.0,77.0
Ladies in Black,PG,6.7,65.0,67.0
Middle School: The Worst Years of My Life,PG,6.1,51.0,61.0
Barnyard,PG,5.6,42.0,56.0
The Young Victoria,PG,7.2,64.0,72.0
The Hitchhiker's Guide to the Galaxy,PG,6.7,63.0,67.0
The Miracle Season,PG,6.5,44.0,65.0
Hotel for Dogs,PG,5.5,51.0,55.0
The Deepest Breath,PG,7.7,69.0,77.0
Wonka,PG,7.0,66.0,70.0
Le petit prince,PG,7.6,70.0,76.0
Migration,PG,6.7,56.0,67.0
Unsung Hero,PG,7.8,46.0,78.0
Aquamarine,PG,5.4,51.0,54.0
Inkheart,PG,6.1,49.0,61.0
Diary of a Wimpy Kid: Rodrick Rules,PG,6.6,51.0,66.0
The Lake House,PG,6.8,52.0,68.0
Guillermo del Toro's Pinocchio,PG,7.6,79.0,76.0
Love & Friendship,PG,6.4,87.0,64.0
Goal!,PG,6.7,53.0,67.0
Greater,PG,7.4,35.0,74.0
First Daughter,PG,5.1,31.0,51.0
The Importance of Being Earnest,PG,6.8,60.0,68.0
Million Dollar Arm,PG,7.0,56.0,70.0
Surf's Up,PG,6.7,64.0,67.0
The Adventures of Robin Hood,PG,7.9,97.0,79.0
3 Ninjas Kick Back,PG,4.6,39.0,46.0
Good Burger,PG,5.8,41.0,58.0
The Tiger's Apprentice,PG,5.7,55.0,57.0
Racing Stripes,PG,5.2,43.0,52.0
Kokuriko-zaka kara,PG,7.4,71.0,74.0
Osmosis Jones,PG,6.3,57.0,63.0
Kicking & Screaming,PG,5.6,45.0,56.0
Brian and Charles,PG,6.7,66.0,67.0
Leo,PG,7.0,65.0,70.0
